BEGIN_YEAR;EXPOSURE;PREMIUM_FREQUENCY;SEX;ENGINE;POWER_RANGE;KIND_OF_PAYMENT;CLAIM_AMOUNT;CLAIM_COUNT
2009;0,72;2;1;BEN;0-60;cash;2600;1
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;161+;cash;0;0
2009;1;4;1;DIE;101-120;cash;0;0
2009;1;2;1;DIE;61-80;transfer;0;0
2009;1;2;0;BEN;101-120;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;4;1;DIE;101-120;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;BEN;101-120;cash;2676,9;1
2009;1;2;1;DIE;81-100;cash;0;0
2009;1;2;1;BEN;0-60;cash;0;0
2009;1;1;1;DIE;61-80;cash;0;0
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;0,25;2;1;DIE;101-120;cash;10579,9;1
2009;1;1;0;BEN;0-60;cash;3531,61;1
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;1;0;BEN;81-100;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;0;BEN;0-60;cash;0;0
2009;1;1;0;BEN;0-60;cash;0;0
2009;1;2;1;DIE;61-80;cash;0;0
2009;1;1;1;BEN;81-100;transfer;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;0;BEN;61-80;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;0;DIE;101-120;cash;0;0
2009;1;1;1;BEN;61-80;transfer;0;0
2009;1;2;1;BEN;121-140;transfer;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;DIE;101-120;cash;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;2;1;DIE;121-140;transfer;0;0
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;DIE;81-100;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;4;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;141-160;cash;0;0
2009;1;2;1;BEN;121-140;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;0;BEN;61-80;transfer;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;DIE;121-140;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;81-100;transfer;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;101-120;transfer;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;1;1;DIE;121-140;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;4;1;BEN;0-60;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;DIE;101-120;cash;0;0
2009;1;1;0;BEN;61-80;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;2;1;DIE;101-120;cash;0;0
2009;1;1;1;BEN;81-100;transfer;0;0
2009;1;1;1;BEN;0-60;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;121-140;cash;0;0
2009;1;2;1;BEN;121-140;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;BEN;121-140;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;DIE;121-140;cash;0;0
2009;1;2;1;BEN;101-120;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;2;1;BEN;0-60;transfer;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;DIE;121-140;cash;0;0
2009;1;2;1;BEN;61-80;cash;0;0
2009;1;4;1;BEN;81-100;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;0;BEN;101-120;transfer;13790,72;2
2009;1;4;1;BEN;81-100;cash;9662,73;1
2009;1;1;1;DIE;81-100;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;2;1;BEN;121-140;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;1;1;BEN;101-120;cash;2357,9;1
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;0;BEN;0-60;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;0;DIE;61-80;cash;0;0
2009;1;1;1;BEN;101-120;cash;0;0
2009;1;1;1;BEN;61-80;cash;0;0
2009;1;2;1;DIE;61-80;cash;0;0
2009;1;2;0;BEN;81-100;cash;0;0
2009;1;1;1;BEN;81-100;cash;0;0
2009;1;1;1;DIE;81-100;transfer;0;0
2009;1;2;1;BEN;61-80;cash;0;0
