BEGIN_YEAR;EXPOSURE;PREMIUM_FREQUENCY;SEX;ENGINE;POWER_RANGE;KIND_OF_PAYMENT;CLAIM_AMOUNT;CLAIM_COUNT
2008;1;2;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;161+;cash;0;0
2008;1;4;1;DIE;101-120;cash;0;0
2008;1;1;1;DIE;61-80;cash;0;0
2008;1;2;0;BEN;101-120;cash;0;0
2008;1;2;1;BEN;61-80;cash;0;0
2008;1;2;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;2;1;BEN;61-80;cash;0;0
2008;1;2;1;BEN;101-120;cash;0;0
2008;1;2;1;DIE;81-100;cash;0;0
2008;1;2;1;BEN;0-60;cash;0;0
2008;1;1;1;DIE;61-80;transfer;0;0
2008;1;1;1;DIE;101-120;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;2;1;DIE;101-120;cash;0;0
2008;1;1;0;BEN;0-60;cash;0;0
2008;1;1;1;DIE;81-100;cash;0;0
2008;1;2;0;DIE;61-80;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;61-80;cash;995,51;1
2008;1;2;0;BEN;0-60;cash;0;0
2008;1;1;0;BEN;0-60;cash;0;0
2008;1;2;1;DIE;61-80;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;2;0;BEN;61-80;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;0;DIE;101-120;cash;1363,89;1
2008;1;1;1;BEN;61-80;transfer;0;0
2008;1;1;1;BEN;121-140;transfer;1164,18;1
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;DIE;101-120;cash;0;0
2008;0,45;2;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;2;1;DIE;121-140;transfer;0;0
2008;1;2;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;2;1;DIE;81-100;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;4;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;141-160;cash;0;0
2008;1;2;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;2;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;1;0;BEN;61-80;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;2;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;2;1;BEN;0-60;cash;1478,99;1
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;2;1;BEN;101-120;cash;0;0
2008;1;2;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;2;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;2;1;DIE;101-120;cash;0;0
2008;1;1;0;BEN;61-80;transfer;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;1;1;BEN;121-140;cash;0;0
2008;1;1;1;BEN;81-100;transfer;3890,92;1
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;2;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;101-120;cash;0;0
2008;1;2;1;BEN;121-140;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;61-80;cash;0;0
2008;1;2;1;BEN;121-140;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;1;DIE;81-100;cash;0;0
2008;1;2;1;BEN;101-120;cash;0;0
2008;1;2;1;BEN;61-80;cash;0;0
2008;1;1;1;BEN;0-60;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;2;1;BEN;81-100;cash;0;0
2008;1;1;1;DIE;121-140;transfer;0;0
2008;1;2;1;BEN;61-80;cash;0;0
2008;1;4;1;BEN;81-100;cash;0;0
2008;1;1;1;BEN;81-100;cash;0;0
2008;1;1;0;BEN;101-120;transfer;0;0
